Date,Values,Datetime,new_format
1/01/2021,0.842022242,2021-01-01,01 Jan 2021
2/01/2021,0.831665264,2021-01-02,02 Jan 2021
3/01/2021,0.664413727,2021-01-03,03 Jan 2021
4/01/2021,0.852206282,2021-01-04,04 Jan 2021
5/01/2021,0.567480271,2021-01-05,05 Jan 2021
6/01/2021,0.098862149,2021-01-06,06 Jan 2021
7/01/2021,0.698494269,2021-01-07,07 Jan 2021
8/01/2021,0.158104305,2021-01-08,08 Jan 2021
9/01/2021,0.538106221,2021-01-09,09 Jan 2021
10/01/2021,0.402282774,2021-01-10,10 Jan 2021
11/01/2021,0.178721406,2021-01-11,11 Jan 2021
12/01/2021,0.614247536,2021-01-12,12 Jan 2021
13/01/2021,0.759115387,2021-01-13,13 Jan 2021
14/01/2021,0.198333337,2021-01-14,14 Jan 2021
15/01/2021,0.900441591,2021-01-15,15 Jan 2021
16/01/2021,0.610314235,2021-01-16,16 Jan 2021
17/01/2021,0.815258839,2021-01-17,17 Jan 2021
18/01/2021,0.896095499,2021-01-18,18 Jan 2021
19/01/2021,0.917004806,2021-01-19,19 Jan 2021
20/01/2021,0.683041125,2021-01-20,20 Jan 2021
21/01/2021,0.002168351,2021-01-21,21 Jan 2021
22/01/2021,0.973884175,2021-01-22,22 Jan 2021
23/01/2021,0.712743145,2021-01-23,23 Jan 2021
24/01/2021,0.637999778,2021-01-24,24 Jan 2021
25/01/2021,0.055602547,2021-01-25,25 Jan 2021
26/01/2021,0.054632213,2021-01-26,26 Jan 2021
27/01/2021,0.198249097,2021-01-27,27 Jan 2021
28/01/2021,0.355728517,2021-01-28,28 Jan 2021
29/01/2021,0.534809625,2021-01-29,29 Jan 2021
30/01/2021,0.647931477,2021-01-30,30 Jan 2021
