Datetime[UTC],BLM-1[m],Baro[m]
25/06/2009 22:00,5.09169882,9.49478567
25/06/2009 22:15,5.09126361,9.49344144
25/06/2009 22:30,5.09704863,9.49047334
25/06/2009 22:45,5.09706691,9.48966183
25/06/2009 23:00,5.09875924,9.49095627
25/06/2009 23:15,5.10311066,9.48966183
25/06/2009 23:30,5.10710491,9.48931249
25/06/2009 23:45,5.1124737,9.48764298
26/06/2009 00:00,5.11559541,9.48581914
26/06/2009 00:15,5.12398397,9.48495785
26/06/2009 00:30,5.12925221,9.48336882
26/06/2009 00:45,5.13523761,9.48192004
26/06/2009 01:00,5.14124058,9.48351071
26/06/2009 01:15,5.14841842,9.48024141
26/06/2009 01:30,5.1533302,9.4836526
26/06/2009 01:45,5.16026406,9.48010616
26/06/2009 02:00,5.16455853,9.48447408
26/06/2009 02:15,5.17183409,9.48455458
26/06/2009 02:30,5.17612786,9.48371899
26/06/2009 02:45,5.18082098,9.48539845
26/06/2009 03:00,5.18439759,9.4862108
26/06/2009 03:15,5.18940921,9.49025096
26/06/2009 03:30,5.19306668,9.48903368
26/06/2009 03:45,5.1957117,9.49247641
26/06/2009 04:00,5.19893255,9.49066418
26/06/2009 04:15,5.20101862,9.49238016
26/06/2009 04:30,5.20244729,9.49535572
26/06/2009 04:45,5.20451789,9.49298673
26/06/2009 05:00,5.20547058,9.49183998
26/06/2009 05:15,5.2043161,9.49501884
26/06/2009 05:30,5.20414033,9.49603697
26/06/2009 05:45,5.20387456,9.49842091
26/06/2009 06:00,5.20065934,9.49872046
26/06/2009 06:15,5.19927917,9.50287016
26/06/2009 06:30,5.19631987,9.50244946
26/06/2009 06:45,5.19306668,9.50158649
26/06/2009 07:00,5.1916373,9.5011741
26/06/2009 07:15,5.18869136,9.50097909
26/06/2009 07:30,5.1861068,9.5011741
26/06/2009 07:45,5.18227356,9.50300208
26/06/2009 08:00,5.1800068,9.49904074
26/06/2009 08:15,5.17756849,9.50040987
26/06/2009 08:30,5.17394266,9.49970955
26/06/2009 08:45,5.16958913,9.50202047
26/06/2009 09:00,5.16602799,9.50509229
26/06/2009 09:15,5.16346734,9.50318381
26/06/2009 09:30,5.16040327,9.50638589
26/06/2009 09:45,5.1586336,9.50795832
26/06/2009 10:00,5.15816394,9.50827031
26/06/2009 10:15,5.15495715,9.50850016
26/06/2009 10:30,5.15370424,9.50982779
26/06/2009 10:45,5.15336817,9.50672776
26/06/2009 11:00,5.15283241,9.50879057
26/06/2009 11:15,5.15294983,9.50951331
26/06/2009 11:30,5.15314458,9.50804876
26/06/2009 11:45,5.15414086,9.50832176
26/06/2009 12:00,5.15470052,9.51203334
26/06/2009 12:15,5.15629442,9.51176947
26/06/2009 12:30,5.15632676,9.51486038
26/06/2009 12:45,5.15733851,9.5165863
26/06/2009 13:00,5.15873133,9.51930049
26/06/2009 13:15,5.15939083,9.51994936
26/06/2009 13:30,5.16046585,9.51969462
26/06/2009 13:45,5.16187273,9.52455543
26/06/2009 14:00,5.16518358,9.52513462
26/06/2009 14:15,5.16613275,9.52556112
26/06/2009 14:30,5.16772032,9.52592787
26/06/2009 14:45,5.16895143,9.52707794
26/06/2009 15:00,5.17066134,9.52536364
26/06/2009 15:15,5.17155637,9.52745051
26/06/2009 15:30,5.17350604,9.52734098
26/06/2009 15:45,5.17376618,9.52550303
26/06/2009 16:00,5.17374017,9.52681988
26/06/2009 16:15,5.17380345,9.52713105
26/06/2009 16:30,5.17428014,9.52579761
26/06/2009 16:45,5.17282615,9.52339126
26/06/2009 17:00,5.17133982,9.5244625
26/06/2009 17:15,5.16895143,9.52580341
26/06/2009 17:30,5.16698559,9.52550303
