,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,species_id,genus,species,taxa
0,1,7,16,1977,2,NL,M,32.0,,NL,Neotoma,albigula,Rodent
1,2,7,16,1977,3,NL,M,33.0,,NL,Neotoma,albigula,Rodent
2,3,7,16,1977,2,DM,F,37.0,,DM,Dipodomys,merriami,Rodent
3,4,7,16,1977,7,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
4,5,7,16,1977,3,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
5,6,7,16,1977,1,PF,M,14.0,,PF,Perognathus,flavus,Rodent
6,7,7,16,1977,2,PE,F,,,PE,Peromyscus,eremicus,Rodent
7,8,7,16,1977,1,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
8,9,7,16,1977,1,DM,F,34.0,,DM,Dipodomys,merriami,Rodent
9,10,7,16,1977,6,PF,F,20.0,,PF,Perognathus,flavus,Rodent
10,11,7,16,1977,5,DS,F,53.0,,DS,Dipodomys,spectabilis,Rodent
11,12,7,16,1977,7,DM,M,38.0,,DM,Dipodomys,merriami,Rodent
12,13,7,16,1977,3,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
13,14,7,16,1977,8,DM,,,,DM,Dipodomys,merriami,Rodent
14,15,7,16,1977,6,DM,F,36.0,,DM,Dipodomys,merriami,Rodent
15,16,7,16,1977,4,DM,F,36.0,,DM,Dipodomys,merriami,Rodent
16,17,7,16,1977,3,DS,F,48.0,,DS,Dipodomys,spectabilis,Rodent
17,18,7,16,1977,2,PP,M,22.0,,PP,Chaetodipus,penicillatus,Rodent
18,19,7,16,1977,4,PF,,,,PF,Perognathus,flavus,Rodent
19,20,7,17,1977,11,DS,F,48.0,,DS,Dipodomys,spectabilis,Rodent
20,21,7,17,1977,14,DM,F,34.0,,DM,Dipodomys,merriami,Rodent
21,22,7,17,1977,15,NL,F,31.0,,NL,Neotoma,albigula,Rodent
22,23,7,17,1977,13,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
23,24,7,17,1977,13,SH,M,21.0,,SH,Sigmodon,hispidus,Rodent
24,25,7,17,1977,9,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
25,26,7,17,1977,15,DM,M,31.0,,DM,Dipodomys,merriami,Rodent
26,27,7,17,1977,15,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
27,28,7,17,1977,11,DM,M,38.0,,DM,Dipodomys,merriami,Rodent
28,29,7,17,1977,11,PP,M,,,PP,Chaetodipus,penicillatus,Rodent
29,30,7,17,1977,10,DS,F,52.0,,DS,Dipodomys,spectabilis,Rodent
30,31,7,17,1977,15,DM,F,37.0,,DM,Dipodomys,merriami,Rodent
31,32,7,17,1977,10,DM,F,35.0,,DM,Dipodomys,merriami,Rodent
32,33,7,17,1977,11,DM,F,36.0,,DM,Dipodomys,merriami,Rodent
33,34,7,17,1977,17,DM,,,,DM,Dipodomys,merriami,Rodent
34,35,7,17,1977,13,DM,F,38.0,,DM,Dipodomys,merriami,Rodent
35,36,7,17,1977,16,OT,F,22.0,,OT,Onychomys,torridus,Rodent
36,37,7,17,1977,11,DM,F,35.0,,DM,Dipodomys,merriami,Rodent
37,38,7,17,1977,17,NL,M,33.0,,NL,Neotoma,albigula,Rodent
38,39,7,17,1977,11,DM,F,36.0,,DM,Dipodomys,merriami,Rodent
39,40,7,18,1977,20,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
40,41,7,18,1977,23,DM,F,34.0,,DM,Dipodomys,merriami,Rodent
41,42,7,18,1977,18,DS,F,46.0,,DS,Dipodomys,spectabilis,Rodent
42,43,7,18,1977,21,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
43,44,7,18,1977,18,DM,F,35.0,,DM,Dipodomys,merriami,Rodent
44,45,7,18,1977,22,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
45,46,7,18,1977,19,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
46,47,7,18,1977,18,DM,M,32.0,,DM,Dipodomys,merriami,Rodent
47,48,7,18,1977,20,DM,F,36.0,,DM,Dipodomys,merriami,Rodent
48,49,7,18,1977,12,PP,F,17.0,,PP,Chaetodipus,penicillatus,Rodent
49,50,7,18,1977,18,DM,F,32.0,,DM,Dipodomys,merriami,Rodent
50,51,7,18,1977,21,DM,F,36.0,,DM,Dipodomys,merriami,Rodent
51,52,7,18,1977,12,DM,F,26.0,,DM,Dipodomys,merriami,Rodent
52,53,7,18,1977,22,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
53,54,7,18,1977,18,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
54,55,7,18,1977,23,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
55,56,7,18,1977,20,DM,M,34.0,,DM,Dipodomys,merriami,Rodent
56,57,7,18,1977,22,DM,,,,DM,Dipodomys,merriami,Rodent
57,58,7,18,1977,12,DS,M,45.0,,DS,Dipodomys,spectabilis,Rodent
58,59,7,18,1977,19,DM,M,33.0,,DM,Dipodomys,merriami,Rodent
59,60,7,18,1977,19,PE,M,20.0,,PE,Peromyscus,eremicus,Rodent
60,61,7,18,1977,23,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
61,62,7,18,1977,19,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
62,63,8,19,1977,3,DM,M,35.0,40.0,DM,Dipodomys,merriami,Rodent
63,64,8,19,1977,7,DM,M,37.0,48.0,DM,Dipodomys,merriami,Rodent
64,65,8,19,1977,4,DM,F,34.0,29.0,DM,Dipodomys,merriami,Rodent
65,66,8,19,1977,4,DM,F,35.0,46.0,DM,Dipodomys,merriami,Rodent
66,67,8,19,1977,7,DM,M,35.0,36.0,DM,Dipodomys,merriami,Rodent
67,68,8,19,1977,8,DO,F,32.0,52.0,DO,Dipodomys,ordii,Rodent
68,69,8,19,1977,2,PF,M,15.0,8.0,PF,Perognathus,flavus,Rodent
69,70,8,19,1977,3,OX,F,21.0,22.0,OX,Onychomys,sp.,Rodent
70,71,8,19,1977,7,DM,F,36.0,35.0,DM,Dipodomys,merriami,Rodent
71,72,8,19,1977,2,NL,M,31.0,,NL,Neotoma,albigula,Rodent
72,73,8,19,1977,3,DS,F,44.0,,DS,Dipodomys,spectabilis,Rodent
73,74,8,19,1977,8,PF,M,12.0,7.0,PF,Perognathus,flavus,Rodent
74,75,8,19,1977,8,DM,F,32.0,22.0,DM,Dipodomys,merriami,Rodent
75,76,8,19,1977,9,DS,F,47.0,,DS,Dipodomys,spectabilis,Rodent
76,77,8,19,1977,4,SS,,,,SS,Spermophilus,spilosoma,Rodent
77,78,8,19,1977,1,PF,M,16.0,9.0,PF,Perognathus,flavus,Rodent
78,79,8,19,1977,7,DM,F,34.0,42.0,DM,Dipodomys,merriami,Rodent
79,80,8,19,1977,1,DS,M,48.0,,DS,Dipodomys,spectabilis,Rodent
80,81,8,19,1977,4,PF,F,14.0,8.0,PF,Perognathus,flavus,Rodent
81,82,8,19,1977,4,DM,F,35.0,41.0,DM,Dipodomys,merriami,Rodent
82,83,8,20,1977,6,DM,F,37.0,37.0,DM,Dipodomys,merriami,Rodent
83,84,8,20,1977,19,DM,F,35.0,43.0,DM,Dipodomys,merriami,Rodent
84,85,8,20,1977,23,DM,F,35.0,41.0,DM,Dipodomys,merriami,Rodent
85,86,8,20,1977,18,DM,F,33.0,40.0,DM,Dipodomys,merriami,Rodent
86,87,8,20,1977,5,PF,F,11.0,9.0,PF,Perognathus,flavus,Rodent
87,88,8,20,1977,18,DM,F,35.0,45.0,DM,Dipodomys,merriami,Rodent
88,89,8,20,1977,12,PP,F,20.0,15.0,PP,Chaetodipus,penicillatus,Rodent
89,90,8,20,1977,18,DM,M,35.0,29.0,DM,Dipodomys,merriami,Rodent
90,91,8,20,1977,11,DS,F,50.0,,DS,Dipodomys,spectabilis,Rodent
91,92,8,20,1977,6,DM,M,35.0,39.0,DM,Dipodomys,merriami,Rodent
92,93,8,20,1977,18,DM,,,42.0,DM,Dipodomys,merriami,Rodent
93,94,8,20,1977,18,DM,F,36.0,43.0,DM,Dipodomys,merriami,Rodent
94,95,8,20,1977,23,DM,M,38.0,46.0,DM,Dipodomys,merriami,Rodent
95,96,8,20,1977,12,DM,M,36.0,41.0,DM,Dipodomys,merriami,Rodent
96,97,8,20,1977,18,DM,M,36.0,41.0,DM,Dipodomys,merriami,Rodent
97,98,8,20,1977,5,DM,M,38.0,40.0,DM,Dipodomys,merriami,Rodent
98,99,8,20,1977,11,DM,M,37.0,45.0,DM,Dipodomys,merriami,Rodent
99,100,8,20,1977,5,DS,F,54.0,,DS,Dipodomys,spectabilis,Rodent
100,101,8,20,1977,5,DM,F,35.0,46.0,DM,Dipodomys,merriami,Rodent
101,102,8,20,1977,23,DM,F,35.0,40.0,DM,Dipodomys,merriami,Rodent
102,103,8,20,1977,18,DM,F,35.0,30.0,DM,Dipodomys,merriami,Rodent
103,104,8,20,1977,11,DS,M,43.0,,DS,Dipodomys,spectabilis,Rodent
104,105,8,20,1977,19,DM,M,35.0,39.0,DM,Dipodomys,merriami,Rodent
105,106,8,20,1977,12,NL,,,,NL,Neotoma,albigula,Rodent
106,107,8,20,1977,18,NL,,,,NL,Neotoma,albigula,Rodent
107,108,8,20,1977,11,PP,M,21.0,,PP,Chaetodipus,penicillatus,Rodent
108,109,8,20,1977,6,DM,M,35.0,34.0,DM,Dipodomys,merriami,Rodent
109,110,8,20,1977,10,DS,,,,DS,Dipodomys,spectabilis,Rodent
110,111,8,20,1977,11,DM,F,37.0,42.0,DM,Dipodomys,merriami,Rodent
111,112,8,20,1977,23,DM,M,37.0,42.0,DM,Dipodomys,merriami,Rodent
112,113,8,20,1977,5,PF,F,13.0,8.0,PF,Perognathus,flavus,Rodent
113,114,8,21,1977,15,DM,F,32.0,,DM,Dipodomys,merriami,Rodent
114,115,8,21,1977,21,DM,M,34.0,,DM,Dipodomys,merriami,Rodent
115,116,8,21,1977,13,DM,F,37.0,31.0,DM,Dipodomys,merriami,Rodent
116,117,8,21,1977,21,OX,F,19.0,,OX,Onychomys,sp.,Rodent
117,118,8,21,1977,17,DM,M,33.0,,DM,Dipodomys,merriami,Rodent
118,119,8,21,1977,20,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
119,120,8,21,1977,20,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
120,121,8,21,1977,15,NL,,,,NL,Neotoma,albigula,Rodent
121,122,8,21,1977,22,DM,F,33.0,,DM,Dipodomys,merriami,Rodent
122,123,8,21,1977,17,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
123,124,8,21,1977,14,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
124,125,8,21,1977,22,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
125,126,8,21,1977,20,DM,F,30.0,,DM,Dipodomys,merriami,Rodent
126,127,8,21,1977,14,DM,M,33.0,,DM,Dipodomys,merriami,Rodent
127,128,8,21,1977,15,DM,M,34.0,,DM,Dipodomys,merriami,Rodent
128,129,8,21,1977,14,DM,F,34.0,,DM,Dipodomys,merriami,Rodent
129,130,8,21,1977,16,DM,F,34.0,,DM,Dipodomys,merriami,Rodent
130,131,8,21,1977,22,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
131,132,8,21,1977,22,DM,F,33.0,,DM,Dipodomys,merriami,Rodent
132,133,8,21,1977,15,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
133,134,8,21,1977,17,DS,F,45.0,,DS,Dipodomys,spectabilis,Rodent
134,135,8,21,1977,15,DM,F,35.0,,DM,Dipodomys,merriami,Rodent
135,136,8,21,1977,13,PF,F,16.0,,PF,Perognathus,flavus,Rodent
136,137,8,21,1977,20,DM,F,35.0,,DM,Dipodomys,merriami,Rodent
137,138,8,21,1977,22,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
138,139,8,21,1977,14,PF,M,15.0,,PF,Perognathus,flavus,Rodent
139,140,8,21,1977,20,DM,M,33.0,,DM,Dipodomys,merriami,Rodent
140,141,8,21,1977,16,DM,M,36.0,,DM,Dipodomys,merriami,Rodent
141,142,8,21,1977,17,DM,F,34.0,,DM,Dipodomys,merriami,Rodent
142,143,8,21,1977,15,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
143,144,8,21,1977,15,DS,M,40.0,,DS,Dipodomys,spectabilis,Rodent
144,145,8,21,1977,13,DM,F,37.0,,DM,Dipodomys,merriami,Rodent
145,146,8,21,1977,13,DM,F,36.0,40.0,DM,Dipodomys,merriami,Rodent
146,147,8,21,1977,13,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
147,148,8,21,1977,14,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
148,149,8,21,1977,20,DS,M,50.0,,DS,Dipodomys,spectabilis,Rodent
149,150,8,21,1977,21,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
150,151,8,21,1977,13,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
151,152,8,21,1977,14,DM,M,38.0,,DM,Dipodomys,merriami,Rodent
152,153,8,21,1977,16,DS,F,50.0,,DS,Dipodomys,spectabilis,Rodent
153,154,8,21,1977,20,DS,F,47.0,,DS,Dipodomys,spectabilis,Rodent
154,155,8,21,1977,20,DS,,,,DS,Dipodomys,spectabilis,Rodent
155,156,8,21,1977,21,DM,M,35.0,,DM,Dipodomys,merriami,Rodent
156,157,9,11,1977,20,DM,M,36.0,37.0,DM,Dipodomys,merriami,Rodent
157,158,9,11,1977,22,DM,M,36.0,48.0,DM,Dipodomys,merriami,Rodent
158,159,9,11,1977,5,DS,M,53.0,,DS,Dipodomys,spectabilis,Rodent
159,160,9,11,1977,21,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
160,161,9,11,1977,5,DM,M,37.0,42.0,DM,Dipodomys,merriami,Rodent
161,162,9,11,1977,6,DM,F,39.0,45.0,DM,Dipodomys,merriami,Rodent
162,163,9,11,1977,12,PP,F,21.0,16.0,PP,Chaetodipus,penicillatus,Rodent
163,164,9,11,1977,22,DM,F,36.0,36.0,DM,Dipodomys,merriami,Rodent
164,165,9,11,1977,19,DS,F,50.0,,DS,Dipodomys,spectabilis,Rodent
165,166,9,11,1977,21,OX,M,13.0,,OX,Onychomys,sp.,Rodent
166,167,9,11,1977,6,DM,M,36.0,42.0,DM,Dipodomys,merriami,Rodent
167,168,9,11,1977,12,DM,M,36.0,44.0,DM,Dipodomys,merriami,Rodent
168,169,9,11,1977,5,DM,M,37.0,,DM,Dipodomys,merriami,Rodent
169,170,9,11,1977,20,DM,F,36.0,41.0,DM,Dipodomys,merriami,Rodent
170,171,9,11,1977,12,NL,,,,NL,Neotoma,albigula,Rodent
171,172,9,11,1977,22,PF,F,,8.0,PF,Perognathus,flavus,Rodent
172,173,9,11,1977,12,DM,F,36.0,40.0,DM,Dipodomys,merriami,Rodent
173,174,9,11,1977,12,DM,M,37.0,34.0,DM,Dipodomys,merriami,Rodent
174,175,9,11,1977,19,DM,M,33.0,40.0,DM,Dipodomys,merriami,Rodent
175,176,9,11,1977,12,DS,M,45.0,,DS,Dipodomys,spectabilis,Rodent
176,177,9,11,1977,5,OX,F,,20.0,OX,Onychomys,sp.,Rodent
177,178,9,11,1977,18,DM,M,33.0,44.0,DM,Dipodomys,merriami,Rodent
178,179,9,11,1977,12,DM,M,37.0,44.0,DM,Dipodomys,merriami,Rodent
179,180,9,11,1977,6,DM,M,34.0,36.0,DM,Dipodomys,merriami,Rodent
180,181,9,11,1977,20,DM,M,35.0,33.0,DM,Dipodomys,merriami,Rodent
181,182,9,11,1977,21,DS,M,49.0,,DS,Dipodomys,spectabilis,Rodent
182,183,9,11,1977,5,DM,F,37.0,46.0,DM,Dipodomys,merriami,Rodent
183,184,9,11,1977,20,DS,M,52.0,,DS,Dipodomys,spectabilis,Rodent
184,185,9,11,1977,12,OX,F,19.0,,OX,Onychomys,sp.,Rodent
185,186,9,11,1977,19,DM,F,34.0,35.0,DM,Dipodomys,merriami,Rodent
186,187,9,12,1977,17,DM,M,36.0,46.0,DM,Dipodomys,merriami,Rodent
187,188,9,12,1977,14,DS,F,48.0,,DS,Dipodomys,spectabilis,Rodent
188,189,9,12,1977,17,DM,F,33.0,37.0,DM,Dipodomys,merriami,Rodent
189,190,9,12,1977,7,DM,M,36.0,34.0,DM,Dipodomys,merriami,Rodent
190,191,9,12,1977,17,DS,M,47.0,,DS,Dipodomys,spectabilis,Rodent
191,192,9,12,1977,4,DM,F,36.0,45.0,DM,Dipodomys,merriami,Rodent
192,193,9,12,1977,7,PE,,,,PE,Peromyscus,eremicus,Rodent
193,194,9,12,1977,11,NL,,,,NL,Neotoma,albigula,Rodent
194,195,9,12,1977,4,DS,M,50.0,,DS,Dipodomys,spectabilis,Rodent
195,196,9,12,1977,7,PF,F,15.0,7.0,PF,Perognathus,flavus,Rodent
196,197,9,12,1977,14,DM,M,37.0,51.0,DM,Dipodomys,merriami,Rodent
197,198,9,12,1977,4,DM,M,35.0,39.0,DM,Dipodomys,merriami,Rodent
198,199,9,12,1977,11,DM,M,36.0,29.0,DM,Dipodomys,merriami,Rodent
199,200,9,12,1977,17,DS,F,52.0,,DS,Dipodomys,spectabilis,Rodent
200,201,9,12,1977,10,DS,M,47.0,,DS,Dipodomys,spectabilis,Rodent
201,202,9,12,1977,17,DM,F,32.0,48.0,DM,Dipodomys,merriami,Rodent
202,203,9,12,1977,11,DM,M,38.0,46.0,DM,Dipodomys,merriami,Rodent
203,204,9,12,1977,16,DM,F,37.0,41.0,DM,Dipodomys,merriami,Rodent
204,205,9,12,1977,16,DS,M,50.0,,DS,Dipodomys,spectabilis,Rodent
205,206,9,12,1977,23,DS,F,52.0,,DS,Dipodomys,spectabilis,Rodent
206,207,9,12,1977,16,DS,F,53.0,,DS,Dipodomys,spectabilis,Rodent
207,208,9,12,1977,14,DM,M,37.0,45.0,DM,Dipodomys,merriami,Rodent
208,209,9,12,1977,17,DM,F,35.0,42.0,DM,Dipodomys,merriami,Rodent
209,210,9,12,1977,11,DM,F,36.0,53.0,DM,Dipodomys,merriami,Rodent
210,211,9,12,1977,4,DS,F,48.0,,DS,Dipodomys,spectabilis,Rodent
211,212,9,12,1977,16,PF,,,,PF,Perognathus,flavus,Rodent
212,213,9,12,1977,14,DM,F,35.0,49.0,DM,Dipodomys,merriami,Rodent
213,214,9,12,1977,17,NL,,,,NL,Neotoma,albigula,Rodent
214,215,9,12,1977,14,DM,F,36.0,46.0,DM,Dipodomys,merriami,Rodent
215,216,9,12,1977,4,PF,F,13.0,9.0,PF,Perognathus,flavus,Rodent
216,217,9,13,1977,3,PP,F,19.0,15.0,PP,Chaetodipus,penicillatus,Rodent
217,218,9,13,1977,1,PF,M,13.0,4.0,PF,Perognathus,flavus,Rodent
218,219,9,13,1977,13,DM,M,36.0,48.0,DM,Dipodomys,merriami,Rodent
219,220,9,13,1977,2,DS,M,52.0,,DS,Dipodomys,spectabilis,Rodent
220,221,9,13,1977,3,DM,,,,DM,Dipodomys,merriami,Rodent
221,222,9,13,1977,1,DS,M,52.0,,DS,Dipodomys,spectabilis,Rodent
222,223,9,13,1977,8,DS,F,50.0,,DS,Dipodomys,spectabilis,Rodent
223,224,9,13,1977,2,NL,,,,NL,Neotoma,albigula,Rodent
224,225,9,13,1977,15,DM,,,,DM,Dipodomys,merriami,Rodent
225,226,9,13,1977,2,DM,M,37.0,51.0,DM,Dipodomys,merriami,Rodent
226,227,9,13,1977,15,DM,,,,DM,Dipodomys,merriami,Rodent
227,228,9,13,1977,9,DM,M,38.0,50.0,DM,Dipodomys,merriami,Rodent
