GWNum;Messstelle;Ca;Cl;DOC;LF_mS_m;K;Mg;Na;NO3;pH;SO4;SiO2;U;PSM;Rechtswert;Hochwert;Aquifer_kz;Aquifer;Aquifer2;landuse;landuse_num
1/022-9;QSS 1+2 Hertingerquelle Hertingen, Bad Bellingen;132;5.8;1.1;56.6;0.5;8.8;3.8;12.4;6.92;15.6;8.9;0.00025;0;3395475;5288420;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
1/117-3;QF Krebsbrunnenquelle, Ettenheim;15.2;2.4;0.25;11.1;1.4;4.3;1.4;4.5;6.78;2;10.7;0.00025;0;3419400;5345550;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
1/120-8;QF 2 Kleislewaldquelle Zastler, Oberried;5.2;1.1;0.3;4.7;0.6;1;3.4;4;6.69;4;16;0.00025;0;3423200;5309100;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
1/121-0;QF Stollenquelle Hinteres Elend, MÅnstertal;7.4;1.8;0.2;9.4;0.7;1.2;3.1;6.4;6.96;3.4;18.6;0.00025;0;3413785;5303338;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
1/162-8;TB Rathausplatz, HÅgelsheim;85;55.8;0.85;58.5;7.7;4.2;23.6;18.2;7.25;23.1;12.3;0.00025;0;3434775;5407050;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
1/172-1;QF 2 Langenwaldquelle, Todtmoos;5.9;0.9;0.2;5;0.6;1.2;2.6;6.2;6.25;4;13;0.00025;0;3425330;5292580;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
1/173-4;QF 1 S?gebuck, Oberalpfen;6.7;1.1;0.3;5.5;0.7;1.8;2.1;1.3;6.24;4;10;0.00025;0;3434850;5281250;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
1/214-0;QF 2 Rotenbachquelle, Oppenau;5.7;3.2;0.2;5.5;2;2.2;0.7;5.8;6.08;2;7;0.00025;0;3441890;5374100;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
1/219-3;QF R?sslequelle, Furtwangen;3.1;1;0.3;4.7;0.5;2.6;2.6;3.5;6.46;2;12;0.00025;0;3438840;5321010;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
1/223-0;QF 1 Stollenquelle, Waldshut-Tiengen;75;3.3;0.37;56.5;0.5;36.3;1.3;10.4;7.67;48.9;7.2;0.0007;0;3446200;5279490;72;MUSCHELKALK;Middle Triassic;no_agr;0
1/264-8;TB Schwarzbrunnen, Igelsberg;7.9;7;0.22;8.3;1;2.5;3.1;3.8;6.11;3.6;4.1;0.00025;0;3460825;5379085;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
1/265-0;QF J?gerbrunnenquelle, Freudenstadt;3.2;2.8;0.4;3.6;1.2;1.1;1.3;3.1;5.7;2;5;0.00025;0;3453750;5366570;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
1/269-1;BBR Plattenmoos, Tannheim;28.2;8.6;0.5;20.8;1.17;10.8;3;9.5;6.98;2.5;9.8;0.0006;0;3456190;5319230;81;BUNTSANDSTEIN;Lower Triassic;agr;1
1/272-6;QF Eichtal, Obereggingen;82.8;13.3;0.63;62.3;0.5;40.1;4.3;45.7;7.52;25.3;7;0.0005;0.00019;3453170;5284775;72;MUSCHELKALK;Middle Triassic;no_agr;0
1/314-4;QF Buchbrunnenquelle, Haiterbach;133;6.8;1.1;65.9;0.6;18.7;2.1;14.9;7.07;87;5.8;0.0005;0.00007;3474990;5378900;72;MUSCHELKALK;Middle Triassic;no_agr;0
1/316-0;BR WV, Holzhausen;119;26.9;0.6;77.6;5.5;40.8;9.9;31.1;7.28;120;8.3;0.0009;0;3474545;5359175;72;MUSCHELKALK;Middle Triassic;no_agr;0
1/318-5;QF I Keckquelle, Deiˇlingen;135;26.2;0.5;83;1.35;41.9;8.3;29.1;7.19;148;10.2;0.0011;0;3468550;5329480;72;MUSCHELKALK;Middle Triassic;no_agr;0
1/320-7;QF Gutterquelle, Donaueschingen;37.9;13.7;1.8;25.5;1.84;7.7;8;9.6;7.68;18.6;8.5;0.00025;0;3463550;5311910;72;MUSCHELKALK;Middle Triassic;no_agr;0
1/363-0;QF Talquelle ZV Buchen WV, GÅltlingen;195.7;21.7;0.51;99.4;0.76;35;6.8;38.2;7.35;288;7;0.0006;0.00005;3484460;5390140;72;MUSCHELKALK;Middle Triassic;agr;1
1/364-2;QF 1-3 Weidach, Unterjettingen-Sindlingen;111.5;25.3;1.41;75.8;2.78;44.2;7.9;27.9;7.22;47.3;7;0.0005;0;3485470;5381650;71;LETTENKEUPER;Lettenkeuper;agr;1
1/369-6;SBR Kl?ranlage, Weilheim;138;26;0.8;62;1;3;12;14;7.02;20;5.8;0.0005;0;3483450;5320120;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
1/370-5;QF Schmiedsquelle, Immendingen;83.1;1.1;0.96;35.2;0.8;2.6;1.4;4.6;7.63;10.5;3.2;0.00025;0;3476710;5315070;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
1/415-1;QF Bronnbachquelle, Rottenburg;121;40;0.8;81.3;2.3;39.3;10.9;35.9;7.24;72;9;0.0009;0.00005;3493030;5370120;72;MUSCHELKALK;Middle Triassic;no_agr;0
1/416-4;SBR 4 Rueb Rangendingen, Rangendingen;571;25;0.8;225;5.1;68;13;22;6.94;1320;7.8;0.0022;0;3491520;5360710;71;LETTENKEUPER;Lettenkeuper;agr;1
1/418-0;QF Westliche Galgenquelle, Nusplingen;105;0.8;0.9;45;0.5;4.3;1.1;3.1;7.55;11;3.3;0.00025;0;3491976;5330145;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
1/420-1;TB Gerhardsbrunnen, Gallmannsweil;81.8;9.6;0.42;43;0.52;11.5;5.8;11;7.41;19.1;11.4;0.0008;0;3498640;5309600;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
1/423-0;TB Vogelsang, Horn;116;13;0.7;57.6;1;28.7;5.3;3.5;7.11;47;14.1;0.0009;0;3499360;5283760;24;(TIEF) TERTI?R MIOZ?N, OBERE MEERESMOLASSE (ALPENV);Tertiary AF/MB;agr;1
1/455-3;QF Stallwiesenquelle, Fahrenbach;7;2.9;0.4;6.1;1.4;2;1.5;4.4;6.08;3;10;0.00025;0;3509380;5477430;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
1/464-7;QF E Bebenhausen, TÅbingen;70.4;6.5;1.5;0;2.1;45.2;17.4;7.5;7.28;12.5;13;0.0091;0;3502420;5381660;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
1/467-5;QF Ehestetterquelle Ebingen, Albstadt;103;26.2;1.2;46.5;0.5;2.4;13.4;8.3;7.19;7.4;5.6;0.00025;0;3503760;5340130;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
1/469-0;QF Leitishofen Menningen, Meˇkirch;84.1;14;0.4;47.8;0.6;14.1;4.2;23.5;7.37;26.9;11.6;0.00025;0.00003;3511920;5318390;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
1/471-2;QF Brunnenbachtobelquelle, MÅhlingen;78.8;3.3;0.5;39.1;0.6;12.3;2.9;14;7.61;29;9;0.0009;0;3503780;5306250;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;no_agr;0
1/503-7;QF Firma Dossmann, WalldÅrn-Rippberg;49.5;20.6;0.7;33.4;1.9;16.1;7.8;8.9;7.09;8.7;11.3;0.0007;0.00064;3520960;5498690;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
1/515-6;BBR 3 Albgruppe XIV Unterhausen, Lichtenstein;105;16.4;0;58.6;1.9;6;10;13.4;7.53;12.4;5.1;0.00025;0;3519000;5366480;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
1/521-9;GWM Prakla-Bohrung 244-106 Aach-Linz, Pfullendorf;78;4;0.5;49;1.3;26;4.2;0.8;7.36;27;16;0.0018;0;3516300;5304150;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;no_agr;0
1/522-1;TB II Nussdorf, ?berlingen;6.7;0.5;0.26;34.3;0.9;7.3;73.7;0.3;8.34;15.8;13.1;0.00025;0;3514980;5290360;24;(TIEF) TERTI?R MIOZ?N, OBERE MEERESMOLASSE (ALPENV);Tertiary AF/MB;no_agr;0
1/523-4;BBR I Thermalwasserbohrung, Konstanz;1.5;12;0;69.5;1;0.7;181;0.5;8.93;55;12.4;0.00025;0;3516050;5280880;24;(TIEF) TERTI?R MIOZ?N, OBERE MEERESMOLASSE (ALPENV);Tertiary AF/MB;no_agr;0
1/557-6;QF Seewiesen Rechter Zulauf, Harthausen;75;5;0;48.2;0.7;20;4.8;10;7.29;26;14.3;0.00025;0;3528510;5460350;71;LETTENKEUPER;Lettenkeuper;no_agr;0
1/558-9;QF 1 Eichelberg, Obersulm;68;4.6;0.6;52.4;1;37;6.5;11.3;7.22;26;10.9;0.0023;0;3530490;5441300;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
1/560-0;QF H?ussermannquelle, Oppenweil;63;3;0;41.7;1.1;23;3;12.1;7.19;17.1;8.1;0.0056;0;3535760;5427030;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
1/567-0;QF St?udenquelle Sonderbuch, Zwiefalten;82.1;2.3;0.68;36.8;0.5;1;0.9;6.4;7.45;16.2;2.3;0.0005;0;3535690;5345500;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;agr;1
1/571-7;QF Hochquelle Neubrunn, Illmensee;90.7;17.2;0.37;44.7;0.4;2.5;4.3;37.1;7.37;13.9;11;0.0005;0.00003;3524940;5305540;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;agr;1
1/572-0;QF Stefansbrunnen,  Markdorf;89.1;1.1;1.4;55;1.2;17.8;17.8;7.8;7.24;13.9;6.2;0.0031;0;3531500;5287900;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;no_agr;0
1/606-0;QF I RÅbbrunnen, Ravenstein-Merchingen;130;27;0.71;69.7;1.3;20;5.1;25;7.23;76;8.4;0.0005;0.00004;3536480;5472820;72;MUSCHELKALK;Middle Triassic;agr;1
1/619-1;BBR 13.2, Bad Buchau;48.6;4.7;0.2;43.3;2.9;23.3;21.5;1.6;7.07;3.7;21.4;0.00025;0;3545220;5325460;32;(TIEF) MALM (ALPENVORLAND);Upper Jurassic;no_agr;0
1/621-3;FB Brunnen, Baindt;13.7;0.7;0.77;41.9;1.1;10.7;81.9;0.3;8.05;6.5;11.3;0.0019;0;3549030;5300500;24;(TIEF) TERTI?R MIOZ?N, OBERE MEERESMOLASSE (ALPENV);Tertiary AF/MB;agr;1
1/622-6;HBR KammerbrÅhl, Ravensburg;122;27.9;0.5;71.7;3.8;19.8;19.5;30.1;7.07;33.2;10.5;0.0014;0;3546045;5295785;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);multiple or undifferentiated;agr;1
