Date,GWL
14.04.1997 00:00:00,48.52
21.04.1997 00:00:00,48.535
28.04.1997 00:00:00,48.55
05.05.1997 00:00:00,48.59
12.05.1997 00:00:00,48.55
19.05.1997 00:00:00,48.55
26.05.1997 00:00:00,48.525
02.06.1997 00:00:00,48.5
09.06.1997 00:00:00,48.44
16.06.1997 00:00:00,48.43
23.06.1997 00:00:00,48.33
30.06.1997 00:00:00,48.3
07.07.1997 00:00:00,48.44
14.07.1997 00:00:00,48.17
21.07.1997 00:00:00,48.19
28.07.1997 00:00:00,48.18
04.08.1997 00:00:00,48.17
11.08.1997 00:00:00,48.14
18.08.1997 00:00:00,48.08
25.08.1997 00:00:00,48.03
01.09.1997 00:00:00,48.04
08.09.1997 00:00:00,47.99
15.09.1997 00:00:00,47.94
22.09.1997 00:00:00,47.93
29.09.1997 00:00:00,47.91
06.10.1997 00:00:00,47.91
13.10.1997 00:00:00,47.92
20.10.1997 00:00:00,47.89
27.10.1997 00:00:00,47.915
03.11.1997 00:00:00,47.94
10.11.1997 00:00:00,47.93
17.11.1997 00:00:00,47.94
24.11.1997 00:00:00,47.93
01.12.1997 00:00:00,47.93
08.12.1997 00:00:00,47.94
15.12.1997 00:00:00,47.96
22.12.1997 00:00:00,47.96
29.12.1997 00:00:00,47.95
05.01.1998 00:00:00,48.27
12.01.1998 00:00:00,48.34
19.01.1998 00:00:00,48.44
26.01.1998 00:00:00,48.405
02.02.1998 00:00:00,48.37
09.02.1998 00:00:00,48.34
16.02.1998 00:00:00,48.33
23.02.1998 00:00:00,48.35
02.03.1998 00:00:00,48.34
09.03.1998 00:00:00,48.47
16.03.1998 00:00:00,48.55
23.03.1998 00:00:00,48.53
30.03.1998 00:00:00,48.53
06.04.1998 00:00:00,48.69
13.04.1998 00:00:00,48.72
20.04.1998 00:00:00,48.66
27.04.1998 00:00:00,48.65
04.05.1998 00:00:00,48.64
11.05.1998 00:00:00,48.56
18.05.1998 00:00:00,48.49
25.05.1998 00:00:00,48.55
01.06.1998 00:00:00,48.37
08.06.1998 00:00:00,48.32
15.06.1998 00:00:00,48.27
22.06.1998 00:00:00,48.23
29.06.1998 00:00:00,48.23
06.07.1998 00:00:00,48.2
13.07.1998 00:00:00,48.18
20.07.1998 00:00:00,48.14
27.07.1998 00:00:00,48.12
03.08.1998 00:00:00,48.1
10.08.1998 00:00:00,48.07
17.08.1998 00:00:00,48.04
24.08.1998 00:00:00,48.03
31.08.1998 00:00:00,48.09
07.09.1998 00:00:00,48.12
14.09.1998 00:00:00,48.1
21.09.1998 00:00:00,48.12
28.09.1998 00:00:00,48.12
05.10.1998 00:00:00,48.09
12.10.1998 00:00:00,48.12
19.10.1998 00:00:00,48.18
26.10.1998 00:00:00,48.29
02.11.1998 00:00:00,48.4
09.11.1998 00:00:00,48.71
16.11.1998 00:00:00,48.77
23.11.1998 00:00:00,48.77
30.11.1998 00:00:00,48.53
07.12.1998 00:00:00,48.47
14.12.1998 00:00:00,48.66
21.12.1998 00:00:00,48.87
28.12.1998 00:00:00,48.865
04.01.1999 00:00:00,48.86
11.01.1999 00:00:00,48.85
18.01.1999 00:00:00,48.93
25.01.1999 00:00:00,48.9
01.02.1999 00:00:00,48.9
08.02.1999 00:00:00,48.99
15.02.1999 00:00:00,48.88
22.02.1999 00:00:00,48.93
01.03.1999 00:00:00,48.99
08.03.1999 00:00:00,49.08
15.03.1999 00:00:00,49.04
22.03.1999 00:00:00,48.95
29.03.1999 00:00:00,48.89
05.04.1999 00:00:00,48.84
12.04.1999 00:00:00,48.82
19.04.1999 00:00:00,48.78
26.04.1999 00:00:00,48.8
